Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2016.08.17.,27672.002898,27801.378413,27639.914229,27790.966155
BUX,2016.08.18.,27790.966155,27819.698658,27634.36785,27700.123894
BUX,2016.08.19.,27700.995641,27709.683806,27507.152779,27599.77167
BUX,2016.08.22.,27531.980054,27655.491219,27518.795982,27572.951472
BUX,2016.08.23.,27560.717353,27752.112521,27496.863733,27723.679725
BUX,2016.08.24.,27722.320379,27975.251201,27642.341434,27949.266216
BUX,2016.08.25.,27935.815233,28008.138551,27689.304665,27779.624845
BUX,2016.08.26.,27780.289663,27805.874275,27553.393705,27733.770352
BUX,2016.08.29.,27734.021875,27951.132618,27582.564157,27921.919894
BUX,2016.08.30.,27942.577638,28053.850406,27885.459593,28050.075646
BUX,2016.08.31.,28067.680491,28137.689368,27941.350871,27969.238552
BUX,2016.09.01.,28032.463024,28141.134732,28024.232539,28045.219967
BUX,2016.09.02.,28056.09474,28192.974603,27973.222537,28189.602024
BUX,2016.09.05.,28255.126731,28491.749153,28213.752763,28408.181043
BUX,2016.09.06.,28422.169907,28597.820428,28410.476348,28597.820428
BUX,2016.09.07.,28609.513988,28695.870708,28526.020411,28642.835795
BUX,2016.09.08.,28654.31232,28709.801071,28427.83366,28505.531531
BUX,2016.09.09.,28513.45658,28612.265764,28389.675818,28445.827446
BUX,2016.09.12.,28395.113704,28406.807263,27982.377951,28167.57066
BUX,2016.09.13.,28188.228405,28244.377884,27809.644151,27828.007171
BUX,2016.09.14.,27827.342353,28111.569183,27774.978218,28095.345508
BUX,2016.09.15.,28095.345508,28156.132318,27962.751106,28139.11374
BUX,2016.09.16.,28160.174713,28209.442327,28062.946088,28097.664306
BUX,2016.09.19.,28142.121453,28838.82453,28100.009701,28564.535614
BUX,2016.09.20.,28574.682561,28613.324028,28208.662085,28208.662085
BUX,2016.09.21.,28214.67805,28440.014399,28208.662085,28254.339278
BUX,2016.09.22.,28272.387172,28577.441729,28254.339278,28300.832405
BUX,2016.09.23.,28311.309245,28390.063659,28057.798906,28120.094249
BUX,2016.09.26.,28119.917327,28182.089569,27684.5874,27685.295088
BUX,2016.09.27.,27706.080867,27927.885975,27480.167667,27481.035199
BUX,2016.09.28.,27508.543785,27708.187787,27466.589566,27476.398408
BUX,2016.09.29.,27595.834385,28007.486589,27595.536153,27988.684766
BUX,2016.09.30.,27981.949982,27993.981912,27622.184936,27664.251217
BUX,2016.10.03.,27762.535404,28045.667967,27664.251217,28012.373856
BUX,2016.10.04.,28052.916083,28614.009601,28052.916083,28570.994346
BUX,2016.10.05.,28565.276614,28651.526339,28394.02388,28487.048986
BUX,2016.10.06.,28484.465085,28502.776162,28259.343898,28399.587525
BUX,2016.10.07.,28405.730286,28507.291624,28322.125766,28438.951102
BUX,2016.10.10.,28439.077899,28641.679276,28397.470576,28570.022918
BUX,2016.10.11.,28554.178535,28607.038857,28423.479144,28479.244469
BUX,2016.10.12.,28450.179456,28475.970547,28345.901463,28396.870971
BUX,2016.10.13.,28357.329118,28390.855006,28094.804299,28123.212839
BUX,2016.10.14.,28148.357255,28449.959273,28123.212839,28392.008401
BUX,2016.10.17.,28386.141552,28676.618524,28302.474452,28612.946278
BUX,2016.10.18.,28637.110655,29012.907347,28628.939123,29012.677144
BUX,2016.10.19.,29012.804228,29167.997405,29012.677144,29167.997405
BUX,2016.10.20.,29173.088536,29341.109064,29040.51677,29340.878861
BUX,2016.10.21.,29305.250843,29572.537715,29270.999682,29572.360793
BUX,2016.10.24.,29571.655289,29814.143295,29567.077996,29813.855987
BUX,2016.10.25.,29790.513493,29874.136963,29640.452572,29719.362856
BUX,2016.10.26.,29724.053634,29859.355563,29527.805372,29854.684578
BUX,2016.10.27.,29834.974201,29889.9181,29627.554347,29689.686034
BUX,2016.10.28.,29609.221598,29804.043915,29481.99098,29802.794283
BUX,2016.11.02.,29799.758284,30050.046121,29477.303617,29498.95428
BUX,2016.11.03.,29481.20277,29923.040203,29481.20277,29871.995834
BUX,2016.11.04.,29871.76563,30083.457996,29781.270549,30017.22695
BUX,2016.11.07.,30017.687356,30417.018545,30017.22695,30353.452353
BUX,2016.11.08.,30368.05029,30492.840245,30288.635002,30348.45273
BUX,2016.11.09.,30341.44284,30366.986868,29691.27575,30365.207904
BUX,2016.11.10.,30365.207904,30908.376836,30365.207904,30540.31511
BUX,2016.11.11.,30543.256964,30816.896988,30446.616059,30502.149642
BUX,2016.11.14.,30502.596991,30649.988145,30121.013552,30122.884966
BUX,2016.11.15.,30122.139385,30283.187658,30039.622446,30133.012232
BUX,2016.11.16.,30133.012232,30235.350721,29849.127525,29972.82641
BUX,2016.11.17.,29977.017146,30325.951931,29750.831232,29941.071764
BUX,2016.11.18.,29956.563772,30109.015537,29819.592789,30109.015537
BUX,2016.11.21.,30111.746373,30190.21381,30045.696364,30103.565859
BUX,2016.11.22.,30151.664842,30275.414487,30089.531357,30240.375568
BUX,2016.11.23.,30228.621368,30301.790521,30028.343042,30156.289303
BUX,2016.11.24.,30191.790174,30227.351071,30070.424412,30158.580426
BUX,2016.11.25.,30230.79847,30241.171819,29973.91781,29979.962087
BUX,2016.11.28.,29944.461216,30063.839156,29850.383647,30002.504204
BUX,2016.11.29.,29921.944535,30100.40908,29816.275608,29816.303414
BUX,2016.11.30.,29841.92032,30126.895187,29831.44348,30014.041814
BUX,2016.12.01.,30043.527071,30198.975153,29971.559012,29998.191838
BUX,2016.12.02.,29993.277629,29996.712017,29782.018953,29808.485503
BUX,2016.12.05.,29794.788972,30124.490604,29747.365374,30100.000012
BUX,2016.12.06.,30058.500074,30169.96643,30047.207584,30075.711263
BUX,2016.12.07.,30149.627738,30317.835371,30069.471861,30152.005881
BUX,2016.12.08.,30208.012101,30629.479359,30183.948242,30629.479359
BUX,2016.12.09.,30633.165016,30659.230974,30399.758042,30588.383443
BUX,2016.12.12.,30542.927007,30616.193915,30435.344323,30613.15286
BUX,2016.12.13.,30611.741852,30938.128228,30566.784722,30938.128228
BUX,2016.12.14.,30914.785733,31425.77738,30888.927516,31374.279739
BUX,2016.12.15.,31312.146618,31641.238066,31154.388358,31636.19023
BUX,2016.12.16.,31595.648003,31969.546859,31549.994716,31876.257166
BUX,2016.12.19.,31797.106768,31876.96267,31646.099412,31646.3832
BUX,2016.12.20.,31646.3832,31823.972187,31573.1298,31713.501097
BUX,2016.12.21.,31713.551931,31828.782534,31696.139844,31765.300615
BUX,2016.12.22.,31738.865659,31786.857601,31643.040114,31700.8508
BUX,2016.12.23.,31699.758673,31747.817108,31545.386618,31638.812582
BUX,2016.12.27.,31638.831502,31963.776589,31611.091288,31868.507681
BUX,2016.12.28.,31868.752778,32040.669029,31838.205786,32025.601823
BUX,2016.12.29.,32025.333022,32025.601823,31833.129524,31847.868232
BUX,2016.12.30.,31871.210727,32005.754485,31843.390552,32003.047311
BUX,2017.01.02.,32002.749078,32117.371393,31816.546308,32099.053584
BUX,2017.01.03.,32111.085513,32236.095117,32040.2474,32169.130248
BUX,2017.01.04.,32182.122419,32649.042273,32175.146212,32649.042273
BUX,2017.01.05.,32649.191389,32844.275767,32570.4827,32749.996822
BUX,2017.01.06.,32762.4761,32874.58509,32671.118141,32855.865533
BUX,2017.01.09.,32856.611114,32887.522067,32694.309049,32854.25949
BUX,2017.01.10.,32843.075722,33063.72303,32808.048512,33031.534712
BUX,2017.01.11.,33043.566642,33134.320306,32942.811583,32972.200465
BUX,2017.01.12.,32972.218421,33043.229503,32936.978063,32966.422232
BUX,2017.01.13.,32966.253469,33069.549121,32853.266217,32949.771999
BUX,2017.01.16.,32926.695107,33093.952737,32908.889716,32996.943142
BUX,2017.01.17.,32996.993976,33085.319149,32779.484036,32782.255919
BUX,2017.01.18.,32782.179949,32887.948023,32722.435163,32841.253496
BUX,2017.01.19.,32896.733952,32896.733952,32647.434781,32709.083509
BUX,2017.01.20.,32710.448927,32940.834961,32705.874203,32881.920343
BUX,2017.01.23.,32881.962739,33127.952103,32765.860504,32906.47716
BUX,2017.01.24.,32906.47716,32992.492794,32641.456628,32690.234953
BUX,2017.01.25.,32721.076134,32955.341649,32678.539707,32807.714317
BUX,2017.01.26.,32813.214587,32941.880459,32788.946269,32918.465067
BUX,2017.01.27.,32924.481031,32952.273339,32691.652065,32714.578766
BUX,2017.01.30.,32694.32358,32782.298121,32476.712688,32476.712688
BUX,2017.01.31.,32479.577151,32658.008052,32423.805395,32481.293983
BUX,2017.02.01.,32486.628855,32664.758445,32480.61289,32584.177108
BUX,2017.02.02.,32583.634794,32676.802804,32526.127041,32575.161192
BUX,2017.02.03.,32591.587325,32905.890418,32567.581439,32905.890418
BUX,2017.02.06.,32936.208629,32964.87167,32388.911331,32388.911331
BUX,2017.02.07.,32424.270548,32623.672958,32372.66224,32539.533828
BUX,2017.02.08.,32539.789448,32661.876472,32456.139428,32595.916129
BUX,2017.02.09.,32598.280298,32954.066285,32598.011497,32949.082691
BUX,2017.02.10.,32954.346672,33207.121616,32953.004626,33156.086848
BUX,2017.02.13.,33193.631133,33356.193864,33156.184648,33356.193864
BUX,2017.02.14.,33369.867828,33724.518066,33254.06868,33724.518066
BUX,2017.02.15.,33696.747786,34022.135696,33694.133596,33981.500428
BUX,2017.02.16.,33929.90123,33989.084453,33594.19126,33745.023495
BUX,2017.02.17.,33685.916401,33925.474373,33610.486009,33828.856727
BUX,2017.02.20.,33860.050199,33989.918274,33820.596574,33973.591956
BUX,2017.02.21.,33982.537013,34324.987186,33919.1754,34324.987186
BUX,2017.02.22.,34311.581253,34334.923747,34110.514893,34112.890141
BUX,2017.02.23.,34112.890141,34112.890141,33449.768151,33548.541005
BUX,2017.02.24.,33523.432502,33562.533256,32748.287759,32886.032767
BUX,2017.02.27.,32934.352979,33102.845222,32871.074043,32872.112839
BUX,2017.02.28.,32802.965694,32833.340078,32061.327192,32061.327192
BUX,2017.03.01.,32060.722987,33343.051688,32059.231824,33343.051688
BUX,2017.03.02.,33396.072791,33544.155205,33020.282074,33155.186638
BUX,2017.03.03.,33017.954217,33232.271565,32838.650975,33193.806079
BUX,2017.03.06.,33192.994953,33233.105178,32972.185283,33181.490056
BUX,2017.03.07.,33209.06722,33272.541697,32439.38822,32442.199093
BUX,2017.03.08.,32431.268919,32699.076452,32317.667349,32547.368736
BUX,2017.03.09.,32598.507991,32986.857421,32427.450482,32986.857421
BUX,2017.03.10.,32954.73629,33057.101348,32696.042688,32727.243005
BUX,2017.03.13.,32686.970606,32791.989813,32512.936535,32686.299158
